uuid_inventario,occurrence_type,target_name,next_state_prediction
INV-000045,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_45,stable
INV-000046,Monitoração de Drenagem Profunda,Target_46,improving
INV-000047,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_47,critical
INV-000048,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_48,degrading
INV-000049,Monitoração de OAE,Target_49,critical
INV-000050,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_50,improving
INV-000051,Monitoração de Drenagem Profunda,Target_51,critical
INV-000052,Monitoração de Sinalização Vertical,Target_52,critical
INV-000053,Monitoração de Sinalização Vertical,Target_53,stable
INV-000054,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_54,improving
INV-000055,Monitoração de Sinalização Horizontal - Zebrados,Target_55,degrading
INV-000056,Monitoração de Terraplenos e Estruturas de Contenção,Target_56,stable
INV-000057,Monitoração de OAE,Target_57,stable
INV-000058,Monitoração de Sinalização Horizontal - Zebrados,Target_58,degrading
INV-000059,Monitoração de Drenagem Profunda,Target_59,improving
INV-000060,Monitoração de Terraplenos e Estruturas de Contenção,Target_60,critical
INV-000061,Monitoração de Sinalização Vertical,Target_61,improving
INV-000062,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_62,improving
INV-000063,Monitoração de Terraplenos e Estruturas de Contenção,Target_63,critical
INV-000064,Monitoração de Sinalização Vertical,Target_64,critical
INV-000065,Monitoração de Sinalização Horizontal - Zebrados,Target_65,critical
INV-000066,Monitoração de Sinalização Horizontal - Zebrados,Target_66,improving
INV-000067,Monitoração de OAE,Target_67,degrading
INV-000068,Monitoração de OAE,Target_68,improving
INV-000069,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_69,degrading
INV-000070,Monitoração de Terraplenos e Estruturas de Contenção,Target_70,improving
INV-000071,Monitoração de OAE,Target_71,degrading
INV-000072,Monitoração de Sinalização Horizontal - Zebrados,Target_72,critical
INV-000073,Monitoração de Terraplenos e Estruturas de Contenção,Target_73,improving
INV-000074,Monitoração de Sinalização Horizontal - Zebrados,Target_74,improving
INV-000075,Monitoração de Drenagem Profunda,Target_75,stable
INV-000076,Monitoração de Sinalização Horizontal - Zebrados,Target_76,degrading
INV-000077,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_77,improving
INV-000078,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_78,improving
INV-000079,Monitoração de Drenagem Profunda,Target_79,critical
,Monitoração de Drenagem Profunda,Target_80,degrading
INV-000081,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_81,degrading
INV-000082,Monitoração de Terraplenos e Estruturas de Contenção,Target_82,improving
INV-000083,Monitoração de Terraplenos e Estruturas de Contenção,Target_83,degrading
INV-000084,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_84,degrading
INV-000085,Monitoração de OAE,Target_85,degrading
INV-000086,Monitoração de Drenagem Profunda,Target_86,degrading
INV-000087,Monitoração de OAE,Target_87,degrading
INV-000088,Monitoração de Sinalização Horizontal - Zebrados,Target_88,stable
INV-000089,Monitoração de Drenagem Profunda,Target_89,stable
INV-000090,Monitoração de Drenagem Profunda,Target_90,improving
INV-000091,Monitoração de Sinalização Vertical,Target_91,degrading
INV-000092,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_92,critical
INV-000093,Monitoração de Terraplenos e Estruturas de Contenção,Target_93,improving
INV-000094,Monitoração de Drenagem Profunda,Target_94,improving
INV-000095,Monitoração de Terraplenos e Estruturas de Contenção,Target_95,degrading
INV-000096,Monitoração de Sinalização Horizontal - Zebrados,Target_96,degrading
INV-000097,Monitoração de Terraplenos e Estruturas de Contenção,Target_97,stable
INV-000098,Monitoração de OAE,Target_98,improving
INV-000099,Monitoração de OAE,Target_99,improving
INV-000100,Monitoração de Sinalização Vertical,Target_100,degrading
INV-000101,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_101,improving
INV-000102,Monitoração de Sinalização Horizontal - Zebrados,Target_102,critical
INV-000103,Monitoração de OAE,Target_103,degrading
INV-000104,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_104,improving
INV-000105,Monitoração de Sinalização Horizontal - Zebrados,Target_105,stable
INV-004557,Monitoração de Terraplenos e Estruturas de Contenção,Target_106,stable
INV-000107,Monitoração de Sinalização Horizontal - Zebrados,Target_107,critical
INV-000108,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_108,critical
INV-000109,Monitoração de OAE,Target_109,degrading
INV-000110,Monitoração de Sinalização Horizontal - Zebrados,Target_110,critical
INV-000111,Monitoração de Terraplenos e Estruturas de Contenção,Target_111,improving
INV-000112,Monitoração de Sinalização Vertical,Target_112,degrading
INV-000113,Monitoração de Sinalização Vertical,Target_113,stable
INV-000114,Monitoração de OAE,Target_114,improving
INV-000115,Monitoração de Sinalização Vertical,Target_115,improving
INV-000116,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_116,critical
INV-000117,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_117,improving
INV-000118,Monitoração de Sinalização Vertical,Target_118,degrading
INV-000119,Monitoração de Sinalização Vertical,Target_119,critical
INV-000120,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_120,improving
INV-000121,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_121,stable
INV-000122,Monitoração de Sinalização Horizontal - Zebrados,Target_122,critical
INV-000123,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_123,stable
INV-000124,Monitoração de Drenagem Profunda,Target_124,degrading
INV-000125,Monitoração de OAE,Target_125,stable
INV-000126,Monitoração de OAE,Target_126,improving
INV-000127,Monitoração de Drenagem Profunda,Target_127,stable
INV-000128,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_128,critical
INV-000129,Monitoração de Drenagem Profunda,Target_129,degrading
INV-000130,Monitoração de Sinalização Horizontal - Zebrados,Target_130,critical
INV-000131,Monitoração de Sinalização Horizontal - Zebrados,Target_131,improving
INV-000132,Monitoração de OAE,Target_132,stable
INV-000133,Monitoração de Sinalização Horizontal - Zebrados,Target_133,improving
INV-000134,Monitoração de OAE,Target_134,stable
INV-000135,Monitoração de Drenagem Profunda,Target_135,degrading
INV-000136,Monitoração de Drenagem Profunda,Target_136,degrading
INV-000137,Monitoração de Sinalização Vertical,Target_137,improving
INV-000138,Monitoração de Sinalização Vertical,Target_138,degrading
INV-000139,Monitoração de Drenagem Profunda,Target_139,stable
INV-000140,Monitoração de OAE,Target_140,stable
INV-000141,Monitoração de Drenagem Profunda,Target_141,critical
INV-000142,Monitoração de Drenagem Profunda,Target_142,stable
INV-000143,Monitoração de Terraplenos e Estruturas de Contenção,Target_143,critical
INV-000144,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_144,degrading
INV-000145,Monitoração de Drenagem Profunda,Target_145,critical
INV-000146,Monitoração de Sinalização Horizontal - Zebrados,Target_146,improving
INV-000147,Monitoração de OAE,Target_147,stable
INV-000148,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_148,improving
INV-000149,Monitoração de Sinalização Vertical,Target_149,critical
INV-000150,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_150,degrading
INV-000151,Monitoração de OAE,Target_151,critical
INV-000152,Monitoração de Sinalização Horizontal - Zebrados,Target_152,improving
INV-000153,Monitoração de OAE,Target_153,critical
INV-000154,Monitoração de Sinalização Vertical,Target_154,improving
INV-000155,Monitoração de Sinalização Horizontal - Zebrados,Target_155,stable
INV-000156,Monitoração de Sinalização Horizontal - Zebrados,Target_156,improving
INV-000157,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_157,improving
INV-000158,Monitoração de OAE,Target_158,improving
INV-000159,Monitoração de Terraplenos e Estruturas de Contenção,Target_159,improving
INV-000160,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_160,critical
INV-000161,Monitoração de Terraplenos e Estruturas de Contenção,Target_161,stable
INV-000162,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_162,degrading
INV-000163,Monitoração de OAE,Target_163,critical
INV-000164,Monitoração de Drenagem Profunda,Target_164,critical
INV-000165,Monitoração de Drenagem Profunda,Target_165,critical
INV-000166,Monitoração de Sinalização Vertical,Target_166,improving
INV-000167,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_167,degrading
INV-000168,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_168,critical
INV-000169,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_169,critical
INV-000170,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_170,degrading
INV-000171,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_171,stable
INV-000172,Monitoração de Terraplenos e Estruturas de Contenção,Target_172,degrading
INV-000173,Monitoração de Sinalização Vertical,Target_173,degrading
INV-000174,Monitoração de Drenagem Profunda,Target_174,improving
INV-000175,Monitoração de Sinalização Vertical,Target_175,critical
INV-000176,Monitoração de Sinalização Vertical,Target_176,improving
INV-000177,Monitoração de Sinalização Vertical,Target_177,stable
INV-000178,Monitoração de Drenagem Profunda,Target_178,critical
INV-000179,Monitoração de Drenagem Profunda,Target_179,stable
INV-000180,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_180,stable
INV-000181,Monitoração de Sinalização Vertical,Target_181,critical
INV-000182,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_182,improving
INV-000183,Monitoração de Terraplenos e Estruturas de Contenção,Target_183,critical
INV-000184,Monitoração de Terraplenos e Estruturas de Contenção,Target_184,degrading
INV-000185,Monitoração de Drenagem Profunda,Target_185,critical
INV-000186,Monitoração de OAE,Target_186,degrading
INV-000187,Monitoração de OAE,Target_187,degrading
INV-000188,Monitoração de OAE,Target_188,degrading
INV-000189,Monitoração de Sinalização Horizontal - Zebrados,Target_189,critical
INV-000190,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_190,improving
INV-000191,Monitoração de OAE,Target_191,critical
INV-000192,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_192,stable
INV-000193,Monitoração de OAE,Target_193,improving
INV-000194,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_194,improving
INV-000195,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_195,critical
INV-000196,Monitoração de OAE,Target_196,critical
INV-000197,Monitoração de Terraplenos e Estruturas de Contenção,Target_197,degrading
INV-000198,Monitoração de Drenagem Profunda,Target_198,stable
INV-000199,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_199,stable
INV-000200,Monitoração de Terraplenos e Estruturas de Contenção,Target_200,degrading
INV-000201,Monitoração de Terraplenos e Estruturas de Contenção,Target_201,improving
INV-000202,Monitoração de Terraplenos e Estruturas de Contenção,Target_202,improving
INV-000203,Monitoração de Sinalização Horizontal - Zebrados,Target_203,critical
INV-000204,Monitoração de Drenagem Profunda,Target_204,stable
INV-000205,Monitoração de Drenagem Profunda,Target_205,improving
INV-000206,Monitoração de Sinalização Vertical,Target_206,critical
INV-000207,Monitoração de Sinalização Horizontal - Zebrados,Target_207,degrading
INV-000208,Monitoração de Terraplenos e Estruturas de Contenção,Target_208,critical
INV-000209,Monitoração de Drenagem Profunda,Target_209,degrading
INV-000210,Monitoração de Drenagem Profunda,Target_210,stable
INV-000211,Monitoração de Terraplenos e Estruturas de Contenção,Target_211,stable
INV-000212,Monitoração de Terraplenos e Estruturas de Contenção,Target_212,improving
INV-000213,Monitoração de OAE,Target_213,critical
INV-000214,Monitoração de OAE,Target_214,stable
INV-000215,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_215,improving
INV-000216,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_216,critical
INV-000217,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_217,critical
INV-000218,Monitoração de OAE,Target_218,improving
INV-000219,Monitoração de Terraplenos e Estruturas de Contenção,Target_219,
INV-000220,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_220,stable
INV-000221,Monitoração de Drenagem Profunda,Target_221,improving
INV-000222,Monitoração de OAE,Target_222,stable
INV-000223,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_223,improving
INV-000224,Monitoração de Drenagem Profunda,Target_224,degrading
INV-000225,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_225,stable
INV-000226,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_226,degrading
INV-000227,Monitoração de Terraplenos e Estruturas de Contenção,Target_227,improving
INV-000228,Monitoração de Terraplenos e Estruturas de Contenção,Target_228,critical
INV-000229,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_229,degrading
INV-000230,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_230,improving
INV-000231,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_231,degrading
INV-000232,Monitoração de Sinalização Vertical,Target_232,stable
INV-000233,Monitoração de Sinalização Vertical,Target_233,improving
INV-000234,Monitoração de Terraplenos e Estruturas de Contenção,Target_234,improving
INV-000235,Monitoração de Sinalização Horizontal - Zebrados,Target_235,critical
INV-000236,Monitoração de Sinalização Vertical,Target_236,improving
INV-000237,Monitoração de Sinalização Vertical,Target_237,stable
INV-000238,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_238,improving
INV-000239,Monitoração de OAE,Target_239,improving
INV-000240,Monitoração de OAE,Target_240,stable
INV-000241,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_241,degrading
INV-000242,Monitoração de OAE,Target_242,degrading
INV-000243,Monitoração de Drenagem Profunda,Target_243,stable
INV-000244,Monitoração de Sinalização Horizontal - Zebrados,Target_244,degrading
INV-000245,Monitoração de Sinalização Vertical,Target_245,improving
INV-000246,Monitoração de Sinalização Horizontal - Zebrados,Target_246,improving
INV-000247,Monitoração de Drenagem Profunda,Target_247,improving
INV-000248,Monitoração de Sinalização Vertical,Target_248,improving
INV-000249,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_249,improving
INV-000250,Monitoração de Drenagem Profunda,Target_250,stable
INV-000251,Monitoração de Drenagem Profunda,Target_251,improving
INV-000252,Monitoração de Sinalização Horizontal - Zebrados,Target_252,degrading
INV-000253,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_253,stable
INV-000254,Monitoração de Sinalização Horizontal - Zebrados,Target_254,degrading
INV-000255,Monitoração de Terraplenos e Estruturas de Contenção,Target_255,improving
INV-000256,Monitoração de Sinalização Horizontal - Zebrados,Target_256,improving
INV-000257,Monitoração de OAE,Target_257,critical
INV-000258,Monitoração de Drenagem Profunda,Target_258,critical
INV-000259,Monitoração de Sinalização Horizontal - Zebrados,Target_259,improving
INV-000260,Monitoração de Drenagem Profunda,Target_260,degrading
INV-000261,Monitoração de Terraplenos e Estruturas de Contenção,Target_261,stable
INV-000262,Monitoração de OAE,Target_262,degrading
INV-000263,Monitoração de Drenagem Profunda,Target_263,degrading
INV-000264,Monitoração de Sinalização Horizontal - Zebrados,Target_264,degrading
INV-000265,Monitoração de Drenagem Profunda,Target_265,degrading
INV-000266,Monitoração de Sinalização Vertical,Target_266,stable
INV-000267,Monitoração de Terraplenos e Estruturas de Contenção,Target_267,critical
INV-000268,Monitoração de OAE,Target_268,critical
INV-000269,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_269,stable
INV-000270,Monitoração de Drenagem Profunda,Target_270,stable
INV-000271,Monitoração de Sinalização Horizontal - Zebrados,Target_271,degrading
INV-000272,Monitoração de OAE,Target_272,stable
INV-000273,Monitoração de Sinalização Horizontal - Zebrados,Target_273,critical
INV-000274,Monitoração de Sinalização Horizontal - Zebrados,Target_274,improving
INV-000275,Monitoração de Drenagem Profunda,Target_275,improving
INV-000276,Monitoração de Sinalização Horizontal - Zebrados,Target_276,improving
INV-000277,Monitoração de Drenagem Profunda,Target_277,degrading
INV-000278,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_278,critical
INV-000279,Monitoração de Sinalização Vertical,Target_279,improving
INV-000280,Monitoração de Sinalização Horizontal - Zebrados,Target_280,degrading
INV-000281,Monitoração de Sinalização Horizontal - Zebrados,Target_281,improving
INV-000282,Monitoração de Sinalização Horizontal - Zebrados,Target_282,stable
INV-000283,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_283,stable
INV-000284,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_284,degrading
INV-000285,Monitoração de OAE,Target_285,degrading
INV-000286,Monitoração de Sinalização Vertical,Target_286,degrading
INV-000287,Monitoração de Sinalização Vertical,Target_287,degrading
INV-000288,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_288,improving
INV-000289,Monitoração de OAE,Target_289,degrading
INV-000290,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_290,degrading
INV-000291,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_291,degrading
INV-000292,Monitoração de OAE,Target_292,stable
INV-000293,Monitoração de Sinalização Vertical,Target_293,critical
INV-000294,Monitoração de Sinalização Vertical,Target_294,stable
INV-000295,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_295,stable
INV-000296,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_296,stable
INV-000297,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_297,critical
INV-000298,Monitoração de Terraplenos e Estruturas de Contenção,Target_298,critical
INV-000299,Monitoração de Drenagem Profunda,Target_299,stable
INV-000300,Monitoração de Drenagem Profunda,Target_300,degrading
INV-000301,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_301,stable
INV-000302,Monitoração de Sinalização Horizontal - Zebrados,Target_302,stable
INV-000303,Monitoração de Sinalização Horizontal - Zebrados,Target_303,stable
INV-000304,Monitoração de Drenagem Profunda,Target_304,critical
INV-000305,Monitoração de Drenagem Profunda,Target_305,stable
INV-000306,Monitoração de Sinalização Horizontal - Zebrados,Target_306,improving
INV-000307,Monitoração de OAE,Target_307,stable
INV-000308,Monitoração de Sinalização Horizontal - Zebrados,Target_308,stable
INV-000309,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_309,improving
INV-000310,Monitoração de OAE,Target_310,stable
INV-000311,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_311,stable
INV-000312,Monitoração de Drenagem Profunda,Target_312,stable
INV-000313,Monitoração de OAE,Target_313,degrading
INV-000314,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_314,degrading
INV-000315,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_315,degrading
INV-000316,Monitoração de OAE,Target_316,improving
INV-000317,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_317,stable
INV-000318,Monitoração de Terraplenos e Estruturas de Contenção,Target_318,stable
INV-000319,Monitoração de Sinalização Horizontal - Zebrados,Target_319,degrading
INV-000320,Monitoração de Sinalização Vertical,Target_320,improving
INV-000321,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_321,improving
INV-000322,Monitoração de Sinalização Horizontal - Zebrados,Target_322,improving
INV-000323,Monitoração de Terraplenos e Estruturas de Contenção,Target_323,degrading
INV-000324,Monitoração de Sinalização Vertical,Target_324,degrading
INV-000325,Monitoração de Sinalização Horizontal - Zebrados,Target_325,stable
INV-000326,Monitoração de Drenagem Profunda,Target_326,stable
INV-000327,Monitoração de Sinalização Vertical,Target_327,stable
INV-000328,Monitoração de Terraplenos e Estruturas de Contenção,Target_328,degrading
INV-000329,Monitoração de Sinalização Horizontal - Zebrados,Target_329,degrading
INV-000330,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_330,improving
INV-000331,Monitoração de Sinalização Vertical,Target_331,degrading
INV-000332,Monitoração de Drenagem Profunda,Target_332,stable
INV-000333,Monitoração de OAE,Target_333,stable
INV-000334,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_334,degrading
INV-000335,Monitoração de Drenagem Profunda,Target_335,critical
INV-000336,Monitoração de Drenagem Profunda,Target_336,improving
INV-000337,Monitoração de Sinalização Vertical,Target_337,degrading
INV-000338,Monitoração de Sinalização Horizontal - Zebrados,Target_338,critical
INV-000339,Monitoração de OAE,Target_339,stable
INV-000340,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_340,degrading
INV-000341,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_341,improving
INV-000342,Monitoração de Sinalização Horizontal - Zebrados,Target_342,critical
INV-000343,Monitoração de OAE,Target_343,critical
INV-000344,Monitoração de Sinalização Vertical,Target_344,degrading
INV-000345,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_345,degrading
INV-000346,Monitoração de OAE,Target_346,critical
INV-000347,Monitoração de Sinalização Vertical,Target_347,stable
INV-000348,Monitoração de Sinalização Vertical,Target_348,improving
INV-000349,Monitoração de Terraplenos e Estruturas de Contenção,Target_349,stable
INV-000350,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_350,critical
INV-000351,Monitoração de Sinalização Horizontal - Zebrados,Target_351,stable
INV-000352,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_352,degrading
INV-000353,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_353,critical
INV-000354,Monitoração de Terraplenos e Estruturas de Contenção,Target_354,improving
INV-000355,Monitoração de Drenagem Profunda,Target_355,improving
INV-000356,Monitoração de Drenagem Profunda,Target_356,stable
INV-000357,Monitoração de Sinalização Vertical,Target_357,stable
INV-000358,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_358,improving
INV-000359,Monitoração de Terraplenos e Estruturas de Contenção,Target_359,critical
INV-000360,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_360,stable
INV-000361,Monitoração de Drenagem Profunda,Target_361,critical
INV-000362,Monitoração de Drenagem Profunda,Target_362,improving
INV-000363,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_363,critical
INV-000364,Monitoração de Terraplenos e Estruturas de Contenção,Target_364,improving
INV-000365,Monitoração de OAE,Target_365,critical
INV-000366,Monitoração de Sinalização Vertical,Target_366,degrading
INV-000367,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_367,critical
INV-000368,Monitoração de OAE,Target_368,improving
INV-000369,Monitoração de Sinalização Vertical,Target_369,critical
INV-000370,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_370,degrading
INV-000371,Monitoração de Sinalização Horizontal - Zebrados,Target_371,stable
INV-000372,Monitoração de Sinalização Vertical,Target_372,
INV-000373,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_373,improving
,Monitoração de Sinalização Horizontal - Zebrados,Target_374,degrading
INV-000375,Monitoração de Drenagem Profunda,Target_375,stable
INV-000376,Monitoração de Drenagem Profunda,Target_376,critical
INV-000377,Monitoração de Drenagem Profunda,Target_377,stable
INV-000378,Monitoração de Sinalização Vertical,Target_378,critical
INV-000379,Monitoração de OAE,Target_379,critical
INV-000380,Monitoração de Sinalização Horizontal - Zebrados,Target_380,stable
INV-000381,Monitoração de Drenagem Profunda,Target_381,stable
INV-000382,Monitoração de Terraplenos e Estruturas de Contenção,Target_382,degrading
INV-000383,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_383,critical
INV-000384,Monitoração de Sinalização Horizontal - Zebrados,Target_384,critical
INV-000385,Monitoração de Sinalização Horizontal - Zebrados,Target_385,stable
INV-000386,Monitoração de OAE,Target_386,degrading
INV-000387,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_387,stable
INV-000388,Monitoração de OAE,Target_388,improving
INV-000389,Monitoração de Drenagem Profunda,Target_389,degrading
INV-000390,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_390,improving
INV-000391,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_391,degrading
INV-000392,Monitoração de Terraplenos e Estruturas de Contenção,Target_392,critical
,Monitoração de Terraplenos e Estruturas de Contenção,Target_393,stable
INV-000394,Monitoração de Drenagem Profunda,Target_394,degrading
INV-000395,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_395,critical
INV-000396,Monitoração de OAE,Target_396,critical
INV-000397,Monitoração de Sinalização Vertical,Target_397,improving
INV-000398,Monitoração de OAE,Target_398,improving
INV-000399,Monitoração de Sinalização Vertical,Target_399,critical
INV-000400,Monitoração de Drenagem Profunda,Target_400,improving
INV-000401,Monitoração de Sinalização Horizontal - Longitudinal e Tachas,Target_401,critical
INV-000402,Monitoração de Terraplenos e Estruturas de Contenção,Target_402,critical
INV-000403,Monitoração de Sinalização Horizontal - Zebrados,Target_403,critical
INV-000404,Monitoração de Terraplenos e Estruturas de Contenção,Target_404,improving
INV-000405,Monitoração de Sinalização Horizontal - Marcas Viárias,Target_405,degrading
